Log_NR;STANDORT;STANDORT_NEU;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_N;LV_03_E;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;Ende
128;Schosshaldenfriedhof;Schosshaldenfriedhof;166584a41612;46.95342;7.47165;2602513.5;1200260.3;568.1;Monitoring intern;Stadtgrun;Mobile Stange;nein;16.06.2023;
129;Laupenstrasse (ZBB);Laupenstrasse;c1c63230dd69;46.94734;7.43639;2599829;1199583.8;540.6;Monitoring intern;BERNMOBIL;Fahrplananzeigemasten;nein;12.05.2023;
141;Viererfeld 2 (Schacht);Viererfeld 2 (Schacht);2512f6b6f8a7;46.96271;7.43688;2599866.3;1201293.1;571.1;Monitoring extern;eawag (?);Stange;nein;08.05.2023;
142;Viererfeld 3 (Strasse Sud);Viererfeld 3 (Strasse Sud);34203a10c11a;46.96286;7.44009;2600111.1;1201309.4;564.2;Monitoring extern;ewb;Kandelaber;nein;11.05.2023;
143;Viererfeld 4 (Strasse Nord);Viererfeld 4 (Strasse Nord);cb1330fd71b9;46.96523;7.44165;2600229.8;1201572.8;567.5;Monitoring extern;ewb;Kandelaber;nein;16.05.2023;
144;Viererfeld 5 (Mittelfeld);Viererfeld 5 (Mittelfeld);a8386067f2e8;46.96178;7.43481;2599709.3;1201189.5;573.6;Monitoring extern;Urban Climate Bern;Eigene Stange;nein;08.05.2023;
151;Ostermundigen BareTower;Ostermundigen BareTower;1422c91c94ef;46.95563;7.48114;2603235.7;1200506.4;554.8;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;
152;Ostermundigen Moosweg;Ostermundigen Moosweg;71912f0c8afa;46.95813;7.48807;2603763;1200784.8;552;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;
153;Ostermundigen Wegmuhlegassli;Ostermundigen Wegmuhlegassli;57542e9f73a9;46.95806;7.49371;2604192.2;1200777.3;548.3;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;
154;Ostermundigen Oberfeld;Ostermundigen Oberfeld;22164103ffc8;46.9581;7.49792;2604512.4;1200781.4;567.4;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;
155;Ostermundigen Milchstrasse;Ostermundigen Milchstrasse;5d30f69ffcbf;46.96241;7.48201;2603301.6;1201260.5;550.5;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;
156;Ostermundigen Tiefenmosli;Ostermundigen Tiefenmosli;d89267a081f7;46.94801;7.48411;2603462.3;1199659.8;552.2;Monitoring Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;
161;Ostermundigen Schermenweg;Ostermundigen Schermenweg;d3960c86f92a;46.95821;7.48052;2603188.1;1200793.3;551.8;Monitoring Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;
162;Ostermundigen Postgasse;Ostermundigen Poststrasse;db897f1683fc;46.95867;7.48222;2603317.7;1200844.3;551.5;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;16.06.2023;
